,Id,Fk_Asset,FK_OtherParameter,FK_Company,FK_OilAndGas,FK_HistoricCompany,FK_DataQuality,FK_LifeCycleTS,FK_LifeCycle,FK_OilAndGasType,NPV Current Year Forward Case,NPV Current Year High Case,NPV Current Year Low Case,NPV Current Year,NPV Current Year Mid Case,NPV Current Year Low Low Case,NPV Current Year Mid Low Case,NPV Current Year Low Low Low Case,NPV Current Year Mid Low Low Case,NPV Current Year Mid Mid Low Case,NPV Current Year Mid Mid Low Low Case
837,222370,119380,111,685,12,685,30,3,3,6,,,-5.610000134,-12.23999977,,1,,7.46999979,-12.25,,
838,229633,122542,111,12830,12,12830,30,31,31,8,-15.97999954,0,-1.289999962,-7.449999809,0,5.949999809,-20.45000076,11.56999969,-7.570000172,0,-20.45000076
839,229635,122542,75,17835,4,17835,30,31,31,11,1.409999967,,0.375999987,1.600000024,,-0.0016,1.320000052,-0.226999998,0.671000004,,0.995999992
840,229535,122531,3,685,12,685,30,2,2,8,3.150000095,3.150000095,3.150000095,3.150000095,3.150000095,3.150000095,3.150000095,3.150000095,3.150000095,3.150000095,3.150000095
841,229608,122542,75,2770,12,2770,30,31,31,8,0.052499998,0,0.0043,0.024499999,0,-0.0195,0.067199998,-3.80E-02,2.49E-02,0,4.59E-02
842,229610,122542,39,12830,4,12830,30,31,31,11,,,,,,,,,,5.630000114,
843,229611,122542,3,17824,12,17824,30,31,31,8,0,33.54000092,0,0,25.87000084,0,0,0,0,0,0
844,229612,122542,39,685,4,685,30,31,31,11,,,,,,,,,,2.579999924,
845,229617,122542,3,12830,4,12830,30,31,31,11,,9.920000076,,,7.300000191,,,,,,
846,229623,122542,3,17824,4,17824,30,31,31,11,,6.75,,,4.980000019,,,,,,
847,229625,122542,39,17835,4,17835,30,31,31,11,,,,,,,,,,1.940000057,
848,229628,122542,111,12830,4,12830,30,31,31,11,-4.090000153,,-1.090000033,-4.639999866,,0.0047,-3.829999924,0.658999979,-1.950000048,,-3.829999924
849,303788,238908,111,685,9,685,30,24,24,15,-0.030200001,-0.073299997,-0.0115,,-0.058899999,-0.0034,-0.036200002,2.50E-03,,-4.42E-02,-2.84E-02
850,303791,238908,3,18340,12,18340,30,24,24,8,-1.309999943,3.789999962,-3.519999981,-1.929999948,2.109999895,-4.380000114,-0.472000003,-5.119999886,-2.470000029,1.090000033,-1.590000033
851,303799,238908,3,685,4,685,30,24,24,11,1.059999943,1.789999962,0.151999995,0.476999998,1.299999952,-0.114,0.61500001,-0.389999986,0.229000002,0.644999981,0.509000003
852,303807,238910,3,2770,4,2770,30,24,24,11,0.0297,0.042599998,-0.003,0.0088,0.0307,-0.0066,0.0143,-1.59E-02,0.0028,1.43E-02,7.50E-03
853,303810,238910,111,11168,12,11168,30,24,24,8,1.220000029,0.92900002,1.330000043,1.24000001,1.019999981,1.389999986,1.169999957,1.429999948,1.279999971,1.059999943,1.230000019
