,Id,FK_Asset,Year,FK_Company,FK_OilAndGas,FK_DataQuality,FK_OtherParameter,FK_HistoricCompany,FK_LifeCycleTS,FK_LifeCycle,FK_OilAndGasType,Production,Production Forward Case,Production High Case,Production Low Case,Production Mid Case,Production Low Low Case,Production Mid Low Case,Production Low Low Low Case,Production Mid Low Low Case,Production Mid Mid Low Case,Production Mid Mid Low Low Case
2886,4706207,32565,2014,685,4,21,12,685,14,14,11,0.079999998,0.079999998,0.079999998,0.079999998,0.079999998,0.079999998,0.079999998,8.00E-02,8.00E-02,8.00E-02,8.00E-02
2887,4706224,32570,2014,685,4,21,12,685,14,14,11,0.319999993,0.319999993,0.319999993,0.319999993,0.319999993,0.319999993,0.319999993,0.319999993,0.319999993,0.319999993,0.319999993
2888,5009437,32555,2016,685,4,21,12,685,14,14,11,0.059999999,0.059999999,0.059999999,0.059999999,0.059999999,0.059999999,0.059999999,6.00E-02,6.00E-02,6.00E-02,6.00E-02
2889,5009446,32556,2016,685,4,21,12,685,14,2,11,1.100000024,1.100000024,1.100000024,1.100000024,1.100000024,1.100000024,1.100000024,1.100000024,1.100000024,1.100000024,1.100000024
2890,5009454,32558,2016,685,4,21,12,685,14,14,11,0.059999999,0.059999999,0.059999999,0.059999999,0.059999999,0.059999999,0.059999999,6.00E-02,6.00E-02,6.00E-02,6.00E-02
2891,5009467,32560,2016,168,4,21,12,3,14,14,11,0.368000001,0.368000001,0.368000001,0.368000001,0.368000001,0.368000001,0.368000001,0.368000001,0.368000001,0.368000001,0.368000001
2892,5009489,32565,2016,10,12,21,12,6,14,14,8,0.389999986,0.389999986,0.389999986,0.389999986,0.389999986,0.389999986,0.389999986,0.389999986,0.389999986,0.389999986,0.389999986
2893,5009530,32584,2016,10,12,21,12,20932,14,2,8,0.031199999,0.031199999,0.031199999,0.031199999,0.031199999,0.031199999,0.031199999,3.12E-02,3.12E-02,3.12E-02,3.12E-02
2894,4859994,32558,2015,10,2,21,12,20932,14,14,10,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,1.09E-02,1.09E-02,1.09E-02,1.09E-02
2895,4860012,32560,2015,10,12,21,12,20932,14,14,8,3.119999886,3.119999886,3.119999886,3.119999886,3.119999886,3.119999886,3.119999886,3.119999886,3.119999886,3.119999886,3.119999886
2896,4706263,32592,2014,18340,12,21,12,20433,14,14,8,0.215000004,0.215000004,0.215000004,0.215000004,0.215000004,0.215000004,0.215000004,0.215000004,0.215000004,0.215000004,0.215000004
2897,4706266,32603,2014,12830,12,21,12,20460,15,14,8,0.930000007,0.930000007,0.930000007,0.930000007,0.930000007,0.930000007,0.930000007,0.930000007,0.930000007,0.930000007,0.930000007
2898,4706259,32589,2014,168,12,21,12,3,16,14,8,8.430000305,8.430000305,8.430000305,8.430000305,8.430000305,8.430000305,8.430000305,8.430000305,8.430000305,8.430000305,8.430000305
2899,10178924,122542,2035,685,12,29,12,685,14,31,8,,,0.079700001,,0.079700001,,,,,,
2900,4928536,109270,2015,9704,10,21,12,9704,26,26,23,0,0,0,0,0,0,0,0,0,0,0
2901,5389986,122531,2018,685,12,21,12,685,17,2,8,0.201000005,0.201000005,0.201000005,0.201000005,0.201000005,0.201000005,0.201000005,0.201000005,0.201000005,0.201000005,0.201000005
2902,5009451,32558,2016,168,2,21,12,3,14,14,10,0.017899999,0.017899999,0.017899999,0.017899999,0.017899999,0.017899999,0.017899999,1.79E-02,1.79E-02,1.79E-02,1.79E-02
2903,5009460,32559,2016,12830,12,21,12,26,16,14,8,3.660000086,3.660000086,3.660000086,3.660000086,3.660000086,3.660000086,3.660000086,3.660000086,3.660000086,3.660000086,3.660000086
2904,5009463,32560,2016,10,4,21,12,6,14,14,11,0.119999997,0.119999997,0.119999997,0.119999997,0.119999997,0.119999997,0.119999997,0.119999997,0.119999997,0.119999997,0.119999997
2905,5009486,32563,2016,685,12,21,12,685,14,2,8,0,0,0,0,0,0,0,0,0,0,0
2906,5009490,32565,2016,10,12,21,12,20932,14,14,8,1.00999999,1.00999999,1.00999999,1.00999999,1.00999999,1.00999999,1.00999999,1.00999999,1.00999999,1.00999999,1.00999999
2907,5009497,32567,2016,10,8,21,12,6,16,14,9,0.545000017,0.545000017,0.545000017,0.545000017,0.545000017,0.545000017,0.545000017,0.545000017,0.545000017,0.545000017,0.545000017
